target_rps,throughput_rps,duration_s,requests,success,failed,error_pct,p50_ms,p95_ms,p99_ms,max_ms
"5",4.825049836037882,29.800345132,150,150,0,0,2346.516969,3281.061768,3634.500761,3722.805546
"10",5.189699584236292,29.900715857,300,202,98,32.666666666666664,8001.592238,9120.199913,9145.079639,9165.169142
"25",5.2429621615359885,29.960490086,750,204,546,72.8,8001.450379,9117.990215,9140.687724,9175.894631
"50",5.211087016456333,29.979890833,1500,203,1297,86.46666666666667,8001.323649,9116.523201,9136.987818,9156.294468
"75",5.169529449470008,29.987307562,2250,202,2048,91.02222222222223,8001.253062,9112.596331,9136.008815,9158.74637
"100",5.15854104839961,29.990192496,3000,201,2799,93.30000000000001,8001.158559,8912.43146,9131.049173,9158.438807
"150",5.147134999978833,29.993586744,4500,201,4299,95.53333333333333,8001.050543,8003.108155,9135.196189,9185.6142
"200",5.219632307022784,29.994894658,6000,204,5796,96.6,8000.981228,8002.307385,9128.38003,9173.488338
"300",5.068739910339772,29.996418307,9000,198,8802,97.8,8000.950873,8002.532348,9134.150905,9276.89346
"400",5.1538804435378,29.997165511,12000,201,11799,98.32499999999999,8000.872308,8001.990271,9100.901634,9168.359146
